aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Las americas,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,25675,1,2015,2015-01-01,3,1
Las americas,Canadá,NO RESIDENTES,America del norte,Enero,585,1,2015,2015-01-01,3,2
Las americas,Estados Unidos,NO RESIDENTES,America del norte,Enero,20900,1,2015,2015-01-01,3,2
Las americas,México,NO RESIDENTES,America del norte,Enero,975,1,2015,2015-01-01,3,2
Las americas,Aruba,NO RESIDENTES,America central y el caribe,Enero,15,1,2015,2015-01-01,3,1
Las americas,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,10,1,2015,2015-01-01,3,1
Las americas,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,630,1,2015,2015-01-01,3,1
Las americas,Cuba,NO RESIDENTES,America central y el caribe,Enero,885,1,2015,2015-01-01,3,1
Las americas,Curazao,NO RESIDENTES,America central y el caribe,Enero,160,1,2015,2015-01-01,3,1
Las americas,El Salvador,NO RESIDENTES,America central y el caribe,Enero,245,1,2015,2015-01-01,3,1
Las americas,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,3,1
Las americas,Guatemala,NO RESIDENTES,America central y el caribe,Enero,225,1,2015,2015-01-01,3,1
Las americas,Haití,NO RESIDENTES,America central y el caribe,Enero,360,1,2015,2015-01-01,3,1
Las americas,Honduras,NO RESIDENTES,America central y el caribe,Enero,140,1,2015,2015-01-01,3,1
Las americas,Jamaica,NO RESIDENTES,America central y el caribe,Enero,55,1,2015,2015-01-01,3,1
Las americas,Martinica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,3,1
Las americas,Panamá,NO RESIDENTES,America central y el caribe,Enero,570,1,2015,2015-01-01,3,1
Las americas,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,2213,1,2015,2015-01-01,3,1
Las americas,San Martin,NO RESIDENTES,America central y el caribe,Enero,35,1,2015,2015-01-01,3,1
Las americas,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,65,1,2015,2015-01-01,3,1
Las americas,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,3,1
Las americas,Otros,NO RESIDENTES,America central y el caribe,Enero,155,1,2015,2015-01-01,3,1
Las americas,Argentina,NO RESIDENTES,America del sur,Enero,1687,1,2015,2015-01-01,3,3
Las americas,Bolivia,NO RESIDENTES,America del sur,Enero,210,1,2015,2015-01-01,3,3
Las americas,Brasil,NO RESIDENTES,America del sur,Enero,2823,1,2015,2015-01-01,3,3
Las americas,Chile,NO RESIDENTES,America del sur,Enero,1511,1,2015,2015-01-01,3,3
Las americas,Colombia,NO RESIDENTES,America del sur,Enero,1647,1,2015,2015-01-01,3,3
Las americas,Ecuador,NO RESIDENTES,America del sur,Enero,235,1,2015,2015-01-01,3,3
Las americas,Perú,NO RESIDENTES,America del sur,Enero,540,1,2015,2015-01-01,3,3
Las americas,Uruguay,NO RESIDENTES,America del sur,Enero,160,1,2015,2015-01-01,3,3
Las americas,Venezuela,NO RESIDENTES,America del sur,Enero,7153,1,2015,2015-01-01,3,3
Las americas,Otros,NO RESIDENTES,America del sur,Enero,95,1,2015,2015-01-01,3,3
Las americas,China,NO RESIDENTES,Asia,Enero,150,1,2015,2015-01-01,3,4
Las americas,Corea del Sur,NO RESIDENTES,Asia,Enero,80,1,2015,2015-01-01,3,4
Las americas,India,NO RESIDENTES,Asia,Enero,100,1,2015,2015-01-01,3,4
Las americas,Israel,NO RESIDENTES,Asia,Enero,150,1,2015,2015-01-01,3,4
Las americas,Japón,NO RESIDENTES,Asia,Enero,50,1,2015,2015-01-01,3,4
Las americas,Taiwan,NO RESIDENTES,Asia,Enero,15,1,2015,2015-01-01,3,4
Las americas,Otros,NO RESIDENTES,Asia,Enero,100,1,2015,2015-01-01,3,4
