"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","7220334","644561","594850","707114","602291","553661","632854","731822","608474","422153","469228","539571","713755"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","651446","77764","34871","39569","48792","47483","46047","66153","70899","56785","54246","54090","54747"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","609107","72061","32330","36392","45127","44519","42970","62261","66782","53454","51042","50209","51960"
NA,"EXTRANJEROS","42339","5703","2541","3177","3665","2964","3077","3892","4117","3331","3204","3881","2787"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","6568888","566797","559979","667545","553499","506178","586807","665669","537575","365368","414982","485481","659008"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","950327","65432","58872","78302","64010","70121","88810","104534","86348","64452","64161","68527","136758"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","5618561","501365","501107","589243","489489","436057","497997","561135","451227","300916","350821","416954","522250"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","3174206","283059","301354","383112","287311","242422","292510","332317","252680","134753","153960","215210","295518"
NA,"Canadá","892020","127845","117511","135103","95651","47440","39132","48874","49438","28630","34309","64239","103848"
NA,"Estados Unidos","2237519","152690","181397","244584","188301","191245","249412","278460","199184","102638","115984","146892","186732"
NA,"México","44667","2524","2446","3425","3359","3737","3966","4983","4058","3485","3667","4079","4938"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","239884","12293","13474","16981","17111","18576","33879","36742","19071","15637","17809","18122","20189"
NA,"Aruba","835","20","41","33","61","74","77","208","49","46","84","35","107"
NA,"Caicos y Turcas, Islas","1431","66","108","112","98","106","110","142","191","136","112","119","131"
NA,"Costa Rica","12003","1085","762","1098","1017","951","1172","1043","803","777","937","1114","1244"
NA,"Cuba","36689","1953","2205","2383","2437","2974","5664","6018","3691","2621","2450","2106","2187"
NA,"Curazao","1429","55","69","25","95","86","142","303","143","111","100","66","234"
NA,"El Salvador","7205","289","505","566","552","717","899","659","757","488","599","678","496"
NA,"Guadalupe","544","12","4","24","32","8","12","164","188","16","12","16","56"
NA,"Guatemala","9242","525","591","826","909","581","1014","838","705","545","835","957","916"
NA,"Haití","20354","1293","1392","1885","1511","1453","1604","1866","1624","1473","1589","1881","2783"
NA,"Honduras","5124","462","288","540","517","392","445","561","292","452","440","409","326"
NA,"Jamaica","5722","281","364","389","462","654","646","535","546","347","560","545","393"
NA,"Martinica","120","4","8","0","8","0","0","28","20","16","0","16","20"
NA,"Panamá","19835","1249","1575","1617","2187","1275","1322","1976","1440","1750","1589","2089","1766"
NA,"Puerto  Rico","105695","4177","4700","6005","6152","8283","19459","20470","7315","6129","7381","7196","8428"
NA,"San Martin","1214","64","32","133","80","64","142","166","128","114","117","17","157"
NA,"Trinidad y Tobago","4185","148","251","565","204","284","371","947","480","183","260","247","245"
NA,"Virgenes Americanas, Islas","95","4","0","16","19","5","0","7","16","8","0","0","20"
NA,"Otros","8162","606","579","764","770","669","800","811","683","425","744","631","680"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","789813","67691","58261","58143","63070","75011","69032","70088","65607","62281","70457","62242","67930"
NA,"Argentina","221850","23200","17863","17757","20332","24837","19692","19124","15791","14865","16828","16947","14614"
